Time,A,B,C
0,100,0,1
18.1312,99,1,1
20.3726,98,2,1
27.3425,97,3,1
43.4884,96,4,1
45.6304,95,5,1
54.5655,94,6,1
61.6264,93,7,1
63.5279,92,8,1
70.866,91,9,1
82.369,90,10,1
88.0864,89,11,1
101.177,88,12,1
112.922,87,13,1
125.568,86,14,1
137.424,85,15,1
139.435,84,16,1
176.017,83,17,1
182.006,82,18,1
188.698,81,19,1
191.074,80,20,1
195.85,79,21,1
215.955,78,22,1
216.128,77,23,1
241.212,76,24,1
247.258,75,25,1
254.556,74,26,1
262.808,73,27,1
271.946,72,28,1
295.995,71,29,1
298.129,70,30,1
346.161,69,31,1
358.489,68,32,1
363.483,67,33,1
373.421,66,34,1
400.078,65,35,1
407.525,64,36,1
407.81,63,37,1
431.995,62,38,1
438.738,61,39,1
449.961,60,40,1
450.252,59,41,1
466.127,58,42,1
492.653,57,43,1
497.698,56,44,1
498.983,55,45,1
508.507,54,46,1
530.831,53,47,1
535.675,52,48,1
543.573,51,49,1
554.933,50,50,1
557.069,49,51,1
623.913,48,52,1
639.484,47,53,1
642.916,46,54,1
685.711,45,55,1
688.9,44,56,1
696.852,43,57,1
703.796,42,58,1
731.239,41,59,1
738.999,40,60,1
753.055,39,61,1
754.424,38,62,1
784.404,37,63,1
875.701,36,64,1
964.477,35,65,1
966.715,34,66,1
1004.03,33,67,1
1018.18,32,68,1
1022.74,31,69,1
1034.74,30,70,1
1117.93,29,71,1
1142.57,28,72,1
1155.28,27,73,1
1198.82,26,74,1
1223.72,25,75,1
1344.07,24,76,1
1397.32,23,77,1
1486.9,22,78,1
1525.76,21,79,1
1626.85,20,80,1
1669.26,19,81,1
1687.19,18,82,1
1804.41,17,83,1
1860.7,16,84,1
1871.9,15,85,1
1897.62,14,86,1
1920.08,13,87,1
